Document_ID,prompt_id,label
AR_gpt-4o_12_24_469,24,1
AR_gpt-4o_12_24_469,141,-1
AR_gpt-4o_12_24_469,30,0
AR_gpt-4o_2_3_49,3,1
AR_gpt-4o_2_3_49,130,-1
AR_gpt-4o_2_3_49,96,0
AR_gpt-4o_6_12_225,12,1
AR_gpt-4o_6_12_225,15,-1
AR_gpt-4o_6_12_225,107,0
AR_gpt-4o_3_5_85,5,1
AR_gpt-4o_3_5_85,16,-1
AR_gpt-4o_3_5_85,151,0
AR_gpt-4o_15_27_527,27,1
AR_gpt-4o_15_27_527,29,-1
AR_gpt-4o_15_27_527,115,0
AR_gpt-4o_4_8_141,8,1
AR_gpt-4o_4_8_141,156,-1
AR_gpt-4o_4_8_141,67,0
AR_gpt-4o_18_153_3042,153,1
AR_gpt-4o_18_153_3042,154,-1
AR_gpt-4o_18_153_3042,155,0
AR_gpt-4o_19_156_3101,156,1
AR_gpt-4o_19_156_3101,92,-1
AR_gpt-4o_19_156_3101,157,0
AR_gpt-4o_3_35_687,35,1
AR_gpt-4o_3_35_687,132,-1
AR_gpt-4o_3_35_687,5,0
AR_gpt-4o_17_46_906,46,1
AR_gpt-4o_17_46_906,73,-1
AR_gpt-4o_17_46_906,147,0
AR_gpt-4o_17_38_747,38,1
AR_gpt-4o_17_38_747,114,-1
AR_gpt-4o_17_38_747,46,0
AR_gpt-4o_16_34_668,34,1
AR_gpt-4o_16_34_668,59,-1
AR_gpt-4o_16_34_668,138,0
AR_gpt-4o_3_35_683,35,1
AR_gpt-4o_3_35_683,154,-1
AR_gpt-4o_3_35_683,91,0
AR_gpt-4o_9_47_930,47,1
AR_gpt-4o_9_47_930,73,-1
AR_gpt-4o_9_47_930,86,0
AR_gpt-4o_16_40_782,40,1
AR_gpt-4o_16_40_782,16,-1
AR_gpt-4o_16_40_782,84,0
AR_gpt-4o_20_159_3162,159,1
AR_gpt-4o_20_159_3162,77,-1
AR_gpt-4o_20_159_3162,161,0
AR_gpt-4o_18_153_3041,153,1
AR_gpt-4o_18_153_3041,158,-1
AR_gpt-4o_18_153_3041,155,0
AR_gpt-4o_9_43_850,43,1
AR_gpt-4o_9_43_850,23,-1
AR_gpt-4o_9_43_850,146,0
AR_gpt-4o_16_34_662,34,1
AR_gpt-4o_16_34_662,93,-1
AR_gpt-4o_16_34_662,137,0
AR_gpt-4o_15_28_542,28,1
AR_gpt-4o_15_28_542,110,-1
AR_gpt-4o_15_28_542,115,0
AR_gpt-4o_4_8_144,8,1
AR_gpt-4o_4_8_144,85,-1
AR_gpt-4o_4_8_144,67,0
AR_gpt-4o_3_35_688,35,1
AR_gpt-4o_3_35_688,161,-1
AR_gpt-4o_3_35_688,33,0
AR_gpt-4o_3_33_641,33,1
AR_gpt-4o_3_33_641,153,-1
AR_gpt-4o_3_33_641,92,0
AR_gpt-4o_16_40_790,40,1
AR_gpt-4o_16_40_790,15,-1
AR_gpt-4o_16_40_790,83,0
AR_gpt-4o_9_20_386,20,1
AR_gpt-4o_9_20_386,132,-1
AR_gpt-4o_9_20_386,47,0
AR_gpt-4o_6_11_204,11,1
AR_gpt-4o_6_11_204,138,-1
AR_gpt-4o_6_11_204,112,0
AR_gpt-4o_2_3_42,3,1
AR_gpt-4o_2_3_42,84,-1
AR_gpt-4o_2_3_42,6,0
AR_gpt-4o_4_8_150,8,1
AR_gpt-4o_4_8_150,91,-1
AR_gpt-4o_4_8_150,66,0
AR_gpt-4o_8_17_321,17,1
AR_gpt-4o_8_17_321,136,-1
AR_gpt-4o_8_17_321,50,0
AR_gpt-4o_16_34_666,34,1
AR_gpt-4o_16_34_666,71,-1
AR_gpt-4o_16_34_666,137,0
AR_gpt-4o_4_7_125,7,1
AR_gpt-4o_4_7_125,155,-1
AR_gpt-4o_4_7_125,67,0
AR_gpt-4o_9_43_844,43,1
AR_gpt-4o_9_43_844,73,-1
AR_gpt-4o_9_43_844,86,0
AR_gpt-4o_3_19_362,19,1
AR_gpt-4o_3_19_362,97,-1
AR_gpt-4o_3_19_362,35,0
AR_gpt-4o_6_11_203,11,1
AR_gpt-4o_6_11_203,43,-1
AR_gpt-4o_6_11_203,56,0
AR_gpt-4o_9_43_845,43,1
AR_gpt-4o_9_43_845,105,-1
AR_gpt-4o_9_43_845,37,0
AR_gpt-4o_9_39_762,39,1
AR_gpt-4o_9_39_762,155,-1
AR_gpt-4o_9_39_762,43,0
AR_gpt-4o_3_5_84,5,1
AR_gpt-4o_3_5_84,65,-1
AR_gpt-4o_3_5_84,151,0
AR_gpt-4o_8_17_329,17,1
AR_gpt-4o_8_17_329,83,-1
AR_gpt-4o_8_17_329,121,0
AR_gpt-4o_17_44_864,44,1
AR_gpt-4o_17_44_864,148,-1
AR_gpt-4o_17_44_864,75,0
AR_gpt-4o_15_28_547,28,1
AR_gpt-4o_15_28_547,8,-1
AR_gpt-4o_15_28_547,64,0
AR_gpt-4o_20_159_3165,159,1
AR_gpt-4o_20_159_3165,50,-1
AR_gpt-4o_20_159_3165,160,0
AR_gpt-4o_13_25_485,25,1
AR_gpt-4o_13_25_485,21,-1
AR_gpt-4o_13_25_485,136,0
AR_gpt-4o_19_156_3107,156,1
AR_gpt-4o_19_156_3107,106,-1
AR_gpt-4o_19_156_3107,157,0
AR_gpt-4o_9_39_764,39,1
AR_gpt-4o_9_39_764,96,-1
AR_gpt-4o_9_39_764,85,0
AR_gpt-4o_6_11_205,11,1
AR_gpt-4o_6_11_205,128,-1
AR_gpt-4o_6_11_205,129,0
AR_gpt-4o_6_11_201,11,1
AR_gpt-4o_6_11_201,34,-1
AR_gpt-4o_6_11_201,129,0
AR_gpt-4o_12_30_585,30,1
AR_gpt-4o_12_30_585,149,-1
AR_gpt-4o_12_30_585,78,0
AR_gpt-4o_2_32_630,32,1
AR_gpt-4o_2_32_630,84,-1
AR_gpt-4o_2_32_630,96,0
AR_gpt-4o_20_159_3169,159,1
AR_gpt-4o_20_159_3169,93,-1
AR_gpt-4o_20_159_3169,160,0
AR_gpt-4o_2_32_628,32,1
AR_gpt-4o_2_32_628,145,-1
AR_gpt-4o_2_32_628,3,0
AR_gpt-4o_15_28_550,28,1
AR_gpt-4o_15_28_550,151,-1
AR_gpt-4o_15_28_550,97,0
AR_gpt-4o_6_11_209,11,1
AR_gpt-4o_6_11_209,5,-1
AR_gpt-4o_6_11_209,57,0
AR_gpt-4o_4_8_149,8,1
AR_gpt-4o_4_8_149,120,-1
AR_gpt-4o_4_8_149,67,0
AR_gpt-4o_17_38_746,38,1
AR_gpt-4o_17_38_746,35,-1
AR_gpt-4o_17_38_746,45,0
AR_gpt-4o_16_40_783,40,1
AR_gpt-4o_16_40_783,154,-1
AR_gpt-4o_16_40_783,138,0
AR_gpt-4o_2_6_102,6,1
AR_gpt-4o_2_6_102,161,-1
AR_gpt-4o_2_6_102,32,0
AR_gpt-4o_18_153_3044,153,1
AR_gpt-4o_18_153_3044,76,-1
AR_gpt-4o_18_153_3044,155,0
AR_gpt-4o_15_28_541,28,1
AR_gpt-4o_15_28_541,98,-1
AR_gpt-4o_15_28_541,124,0
AR_gpt-4o_17_44_867,44,1
AR_gpt-4o_17_44_867,157,-1
AR_gpt-4o_17_44_867,75,0
AR_gpt-4o_3_33_642,33,1
AR_gpt-4o_3_33_642,158,-1
AR_gpt-4o_3_33_642,5,0
AR_gpt-4o_17_46_904,46,1
AR_gpt-4o_17_46_904,161,-1
AR_gpt-4o_17_46_904,44,0
AR_gpt-4o_16_40_788,40,1
AR_gpt-4o_16_40_788,65,-1
AR_gpt-4o_16_40_788,84,0
AR_gpt-4o_9_47_929,47,1
AR_gpt-4o_9_47_929,33,-1
AR_gpt-4o_9_47_929,43,0
AR_gpt-4o_14_26_510,26,1
AR_gpt-4o_14_26_510,80,-1
AR_gpt-4o_14_26_510,55,0
AR_gpt-4o_13_25_481,25,1
AR_gpt-4o_13_25_481,11,-1
AR_gpt-4o_13_25_481,135,0
AR_gpt-4o_15_27_522,27,1
AR_gpt-4o_15_27_522,126,-1
AR_gpt-4o_15_27_522,64,0
AR_gpt-4o_3_19_370,19,1
AR_gpt-4o_3_19_370,6,-1
AR_gpt-4o_3_19_370,35,0
AR_gpt-4o_8_17_328,17,1
AR_gpt-4o_8_17_328,131,-1
AR_gpt-4o_8_17_328,16,0
AR_gpt-4o_20_159_3161,159,1
AR_gpt-4o_20_159_3161,50,-1
AR_gpt-4o_20_159_3161,160,0
AR_gpt-4o_3_35_685,35,1
AR_gpt-4o_3_35_685,26,-1
AR_gpt-4o_3_35_685,92,0
AR_gpt-4o_12_24_462,24,1
AR_gpt-4o_12_24_462,121,-1
AR_gpt-4o_12_24_462,52,0
AR_gpt-4o_20_159_3170,159,1
AR_gpt-4o_20_159_3170,39,-1
AR_gpt-4o_20_159_3170,160,0
AR_gpt-4o_2_6_101,6,1
AR_gpt-4o_2_6_101,6,-1
AR_gpt-4o_2_6_101,95,0
AR_gpt-4o_2_32_629,32,1
AR_gpt-4o_2_32_629,161,-1
AR_gpt-4o_2_32_629,143,0
AR_gpt-4o_8_16_302,16,1
AR_gpt-4o_8_16_302,131,-1
AR_gpt-4o_8_16_302,17,0
AR_gpt-4o_9_20_387,20,1
AR_gpt-4o_9_20_387,98,-1
AR_gpt-4o_9_20_387,145,0
AR_gpt-4o_17_44_861,44,1
AR_gpt-4o_17_44_861,146,-1
AR_gpt-4o_17_44_861,148,0
AR_gpt-4o_9_20_383,20,1
AR_gpt-4o_9_20_383,84,-1
AR_gpt-4o_9_20_383,39,0
AR_gpt-4o_8_16_319,16,1
AR_gpt-4o_8_16_319,159,-1
AR_gpt-4o_8_16_319,79,0
AR_gpt-4o_2_3_56,3,1
AR_gpt-4o_2_3_56,140,-1
AR_gpt-4o_2_3_56,95,0
AR_gpt-4o_9_47_931,47,1
AR_gpt-4o_9_47_931,2,-1
AR_gpt-4o_9_47_931,43,0
AR_gpt-4o_19_156_3120,156,1
AR_gpt-4o_19_156_3120,158,-1
AR_gpt-4o_19_156_3120,157,0
AR_gpt-4o_11_23_451,23,1
AR_gpt-4o_11_23_451,20,-1
AR_gpt-4o_11_23_451,94,0
AR_gpt-4o_8_16_317,16,1
AR_gpt-4o_8_16_317,137,-1
AR_gpt-4o_8_16_317,79,0
AR_gpt-4o_8_17_335,17,1
AR_gpt-4o_8_17_335,39,-1
AR_gpt-4o_8_17_335,121,0
AR_gpt-4o_2_3_54,3,1
AR_gpt-4o_2_3_54,132,-1
AR_gpt-4o_2_3_54,6,0
AR_gpt-4o_15_27_539,27,1
AR_gpt-4o_15_27_539,83,-1
AR_gpt-4o_15_27_539,77,0
AR_gpt-4o_9_37_739,37,1
AR_gpt-4o_9_37_739,94,-1
AR_gpt-4o_9_37_739,39,0
AR_gpt-4o_4_8_157,8,1
AR_gpt-4o_4_8_157,70,-1
AR_gpt-4o_4_8_157,141,0
AR_gpt-4o_18_153_3056,153,1
AR_gpt-4o_18_153_3056,83,-1
AR_gpt-4o_18_153_3056,155,0
AR_gpt-4o_17_45_897,45,1
AR_gpt-4o_17_45_897,153,-1
AR_gpt-4o_17_45_897,147,0
AR_gpt-4o_17_46_917,46,1
AR_gpt-4o_17_46_917,92,-1
AR_gpt-4o_17_46_917,75,0
AR_gpt-4o_8_16_314,16,1
AR_gpt-4o_8_16_314,23,-1
AR_gpt-4o_8_16_314,79,0
AR_gpt-4o_4_7_134,7,1
AR_gpt-4o_4_7_134,38,-1
AR_gpt-4o_4_7_134,142,0
AR_gpt-4o_18_153_3060,153,1
AR_gpt-4o_18_153_3060,115,-1
AR_gpt-4o_18_153_3060,154,0
AR_gpt-4o_2_32_633,32,1
AR_gpt-4o_2_32_633,127,-1
AR_gpt-4o_2_32_633,95,0
AR_gpt-4o_16_34_674,34,1
AR_gpt-4o_16_34_674,160,-1
AR_gpt-4o_16_34_674,137,0
AR_gpt-4o_8_17_333,17,1
AR_gpt-4o_8_17_333,6,-1
AR_gpt-4o_8_17_333,58,0
AR_gpt-4o_6_12_234,12,1
AR_gpt-4o_6_12_234,153,-1
AR_gpt-4o_6_12_234,70,0
AR_gpt-4o_3_33_658,33,1
AR_gpt-4o_3_33_658,126,-1
AR_gpt-4o_3_33_658,5,0
AR_gpt-4o_6_11_218,11,1
AR_gpt-4o_6_11_218,150,-1
AR_gpt-4o_6_11_218,107,0
AR_gpt-4o_20_159_3173,159,1
AR_gpt-4o_20_159_3173,121,-1
AR_gpt-4o_20_159_3173,160,0
AR_gpt-4o_20_159_3176,159,1
AR_gpt-4o_20_159_3176,21,-1
AR_gpt-4o_20_159_3176,161,0
AR_gpt-4o_4_8_156,8,1
AR_gpt-4o_4_8_156,35,-1
AR_gpt-4o_4_8_156,7,0
AR_gpt-4o_9_47_936,47,1
AR_gpt-4o_9_47_936,53,-1
AR_gpt-4o_9_47_936,39,0
AR_gpt-4o_9_47_937,47,1
AR_gpt-4o_9_47_937,138,-1
AR_gpt-4o_9_47_937,85,0
AR_gpt-4o_18_153_3058,153,1
AR_gpt-4o_18_153_3058,59,-1
AR_gpt-4o_18_153_3058,155,0
AR_gpt-4o_12_30_594,30,1
AR_gpt-4o_12_30_594,84,-1
AR_gpt-4o_12_30_594,52,0
AR_gpt-4o_16_34_679,34,1
AR_gpt-4o_16_34_679,63,-1
AR_gpt-4o_16_34_679,137,0
AR_gpt-4o_8_16_313,16,1
AR_gpt-4o_8_16_313,127,-1
AR_gpt-4o_8_16_313,50,0
AR_gpt-4o_8_16_316,16,1
AR_gpt-4o_8_16_316,91,-1
AR_gpt-4o_8_16_316,79,0
AR_gpt-4o_3_5_97,5,1
AR_gpt-4o_3_5_97,140,-1
AR_gpt-4o_3_5_97,35,0
AR_gpt-4o_6_12_237,12,1
AR_gpt-4o_6_12_237,22,-1
AR_gpt-4o_6_12_237,112,0
AR_gpt-4o_11_23_455,23,1
AR_gpt-4o_11_23_455,131,-1
AR_gpt-4o_11_23_455,94,0
AR_gpt-4o_2_3_58,3,1
AR_gpt-4o_2_3_58,126,-1
AR_gpt-4o_2_3_58,95,0
AR_gpt-4o_13_25_498,25,1
AR_gpt-4o_13_25_498,140,-1
AR_gpt-4o_13_25_498,136,0
AR_gpt-4o_19_156_3119,156,1
AR_gpt-4o_19_156_3119,82,-1
AR_gpt-4o_19_156_3119,158,0
AR_gpt-4o_9_47_933,47,1
AR_gpt-4o_9_47_933,68,-1
AR_gpt-4o_9_47_933,145,0
AR_gpt-4o_17_46_919,46,1
AR_gpt-4o_17_46_919,58,-1
AR_gpt-4o_17_46_919,38,0
AR_gpt-4o_8_16_318,16,1
AR_gpt-4o_8_16_318,139,-1
AR_gpt-4o_8_16_318,79,0
AR_gpt-4o_14_26_516,26,1
AR_gpt-4o_14_26_516,136,-1
AR_gpt-4o_14_26_516,132,0
AR_gpt-4o_3_33_659,33,1
AR_gpt-4o_3_33_659,116,-1
AR_gpt-4o_3_33_659,5,0
AR_gpt-4o_16_40_795,40,1
AR_gpt-4o_16_40_795,119,-1
AR_gpt-4o_16_40_795,138,0
AR_gpt-4o_6_12_231,12,1
AR_gpt-4o_6_12_231,23,-1
AR_gpt-4o_6_12_231,129,0
AR_gpt-4o_9_20_392,20,1
AR_gpt-4o_9_20_392,53,-1
AR_gpt-4o_9_20_392,146,0
AR_gpt-4o_17_44_873,44,1
AR_gpt-4o_17_44_873,4,-1
AR_gpt-4o_17_44_873,99,0
AR_gpt-4o_3_19_375,19,1
AR_gpt-4o_3_19_375,10,-1
AR_gpt-4o_3_19_375,91,0
AR_gpt-4o_3_33_660,33,1
AR_gpt-4o_3_33_660,85,-1
AR_gpt-4o_3_33_660,92,0
AR_gpt-4o_14_26_518,26,1
AR_gpt-4o_14_26_518,136,-1
AR_gpt-4o_14_26_518,55,0
AR_gpt-4o_3_5_98,5,1
AR_gpt-4o_3_5_98,140,-1
AR_gpt-4o_3_5_98,91,0
AR_gpt-4o_2_6_115,6,1
AR_gpt-4o_2_6_115,139,-1
AR_gpt-4o_2_6_115,143,0
AR_gpt-4o_17_44_876,44,1
AR_gpt-4o_17_44_876,96,-1
AR_gpt-4o_17_44_876,45,0
AR_gpt-4o_14_26_514,26,1
AR_gpt-4o_14_26_514,121,-1
AR_gpt-4o_14_26_514,132,0
AR_gpt-4o_9_37_733,37,1
AR_gpt-4o_9_37_733,41,-1
AR_gpt-4o_9_37_733,39,0
AR_gpt-4o_16_40_791,40,1
AR_gpt-4o_16_40_791,26,-1
AR_gpt-4o_16_40_791,34,0
AR_gpt-4o_9_43_859,43,1
AR_gpt-4o_9_43_859,64,-1
AR_gpt-4o_9_43_859,85,0
AR_gpt-4o_3_35_692,35,1
AR_gpt-4o_3_35_692,1,-1
AR_gpt-4o_3_35_692,33,0
AR_gpt-4o_9_39_778,39,1
AR_gpt-4o_9_39_778,32,-1
AR_gpt-4o_9_39_778,86,0
AR_gpt-4o_15_27_533,27,1
AR_gpt-4o_15_27_533,78,-1
AR_gpt-4o_15_27_533,53,0
AR_gpt-4o_16_34_680,34,1
AR_gpt-4o_16_34_680,79,-1
AR_gpt-4o_16_34_680,137,0
AR_gpt-4o_3_5_100,5,1
AR_gpt-4o_3_5_100,158,-1
AR_gpt-4o_3_5_100,152,0
AR_gpt-4o_3_33_655,33,1
AR_gpt-4o_3_33_655,56,-1
AR_gpt-4o_3_33_655,19,0
AR_gpt-4o_8_16_320,16,1
AR_gpt-4o_8_16_320,151,-1
AR_gpt-4o_8_16_320,121,0
AR_gpt-4o_19_156_3112,156,1
AR_gpt-4o_19_156_3112,58,-1
AR_gpt-4o_19_156_3112,157,0
AR_gpt-4o_3_5_99,5,1
AR_gpt-4o_3_5_99,58,-1
AR_gpt-4o_3_5_99,151,0
AR_gpt-4o_14_26_511,26,1
AR_gpt-4o_14_26_511,145,-1
AR_gpt-4o_14_26_511,73,0
AR_gpt-4o_19_156_3113,156,1
AR_gpt-4o_19_156_3113,87,-1
AR_gpt-4o_19_156_3113,158,0
AR_gpt-4o_4_7_132,7,1
AR_gpt-4o_4_7_132,153,-1
AR_gpt-4o_4_7_132,8,0
AR_gpt-4o_9_39_773,39,1
AR_gpt-4o_9_39_773,108,-1
AR_gpt-4o_9_39_773,85,0
AR_gpt-4o_17_38_755,38,1
AR_gpt-4o_17_38_755,73,-1
AR_gpt-4o_17_38_755,147,0
AR_gpt-4o_15_28_554,28,1
AR_gpt-4o_15_28_554,41,-1
AR_gpt-4o_15_28_554,77,0
AR_gpt-4o_9_39_777,39,1
AR_gpt-4o_9_39_777,34,-1
AR_gpt-4o_9_39_777,47,0
AR_gpt-4o_14_26_519,26,1
AR_gpt-4o_14_26_519,135,-1
AR_gpt-4o_14_26_519,73,0
AR_gpt-4o_12_30_598,30,1
AR_gpt-4o_12_30_598,157,-1
AR_gpt-4o_12_30_598,134,0
AR_gpt-4o_6_11_220,11,1
AR_gpt-4o_6_11_220,21,-1
AR_gpt-4o_6_11_220,129,0
AR_gpt-4o_11_23_452,23,1
AR_gpt-4o_11_23_452,81,-1
AR_gpt-4o_11_23_452,93,0
AR_gpt-4o_13_25_493,25,1
AR_gpt-4o_13_25_493,158,-1
AR_gpt-4o_13_25_493,60,0
AR_gpt-4o_3_5_96,5,1
AR_gpt-4o_3_5_96,161,-1
AR_gpt-4o_3_5_96,91,0
AR_gpt-4o_2_3_57,3,1
AR_gpt-4o_2_3_57,41,-1
AR_gpt-4o_2_3_57,143,0
AR_gpt-4o_17_46_918,46,1
AR_gpt-4o_17_46_918,30,-1
AR_gpt-4o_17_46_918,59,0
AR_gpt-4o_3_35_700,35,1
AR_gpt-4o_3_35_700,160,-1
AR_gpt-4o_3_35_700,151,0
AR_gpt-4o_3_19_374,19,1
AR_gpt-4o_3_19_374,128,-1
AR_gpt-4o_3_19_374,5,0
AR_gpt-4o_4_7_131,7,1
AR_gpt-4o_4_7_131,32,-1
AR_gpt-4o_4_7_131,141,0
AR_gpt-4o_2_6_113,6,1
AR_gpt-4o_2_6_113,96,-1
AR_gpt-4o_2_6_113,95,0
AR_gpt-4o_17_45_900,45,1
AR_gpt-4o_17_45_900,10,-1
AR_gpt-4o_17_45_900,75,0
AR_gpt-4o_17_46_920,46,1
AR_gpt-4o_17_46_920,139,-1
AR_gpt-4o_17_46_920,45,0
AR_gpt-4o_6_11_217,11,1
AR_gpt-4o_6_11_217,54,-1
AR_gpt-4o_6_11_217,118,0
AR_gpt-4o_2_32_636,32,1
AR_gpt-4o_2_32_636,154,-1
AR_gpt-4o_2_32_636,143,0
AR_gpt-4o_3_5_91,5,1
AR_gpt-4o_3_5_91,59,-1
AR_gpt-4o_3_5_91,152,0
AR_gpt-4o_9_37_740,37,1
AR_gpt-4o_9_37_740,61,-1
AR_gpt-4o_9_37_740,146,0
AR_gpt-4o_17_38_760,38,1
AR_gpt-4o_17_38_760,71,-1
AR_gpt-4o_17_38_760,45,0
AR_gpt-4o_8_17_332,17,1
AR_gpt-4o_8_17_332,48,-1
AR_gpt-4o_8_17_332,50,0
AR_gpt-4o_19_156_3114,156,1
AR_gpt-4o_19_156_3114,121,-1
AR_gpt-4o_19_156_3114,158,0
AR_gpt-4o_16_34_673,34,1
AR_gpt-4o_16_34_673,154,-1
AR_gpt-4o_16_34_673,40,0
AR_gpt-4o_17_38_753,38,1
AR_gpt-4o_17_38_753,25,-1
AR_gpt-4o_17_38_753,75,0
AR_gpt-4o_15_28_558,28,1
AR_gpt-4o_15_28_558,153,-1
AR_gpt-4o_15_28_558,97,0
AR_gpt-4o_9_37_731,37,1
AR_gpt-4o_9_37_731,133,-1
AR_gpt-4o_9_37_731,85,0
AR_gpt-4o_12_30_600,30,1
AR_gpt-4o_12_30_600,157,-1
AR_gpt-4o_12_30_600,134,0
AR_gpt-4o_3_19_373,19,1
AR_gpt-4o_3_19_373,24,-1
AR_gpt-4o_3_19_373,151,0
AR_gpt-4o_6_12_240,12,1
AR_gpt-4o_6_12_240,58,-1
AR_gpt-4o_6_12_240,11,0
AR_gpt-4o_17_38_758,38,1
AR_gpt-4o_17_38_758,161,-1
AR_gpt-4o_17_38_758,76,0
AR_gpt-4o_3_19_377,19,1
AR_gpt-4o_3_19_377,159,-1
AR_gpt-4o_3_19_377,151,0
AR_gpt-4o_17_45_896,45,1
AR_gpt-4o_17_45_896,152,-1
AR_gpt-4o_17_45_896,75,0
AR_gpt-4o_3_19_378,19,1
AR_gpt-4o_3_19_378,26,-1
AR_gpt-4o_3_19_378,33,0
AR_gpt-4o_2_32_631,32,1
AR_gpt-4o_2_32_631,3,-1
AR_gpt-4o_2_32_631,95,0
AR_gpt-4o_6_12_239,12,1
AR_gpt-4o_6_12_239,34,-1
AR_gpt-4o_6_12_239,56,0
AR_gpt-4o_2_6_114,6,1
AR_gpt-4o_2_6_114,79,-1
AR_gpt-4o_2_6_114,32,0
AR_gpt-4o_4_7_138,7,1
AR_gpt-4o_4_7_138,82,-1
AR_gpt-4o_4_7_138,67,0
AR_gpt-4o_12_24_473,24,1
AR_gpt-4o_12_24_473,154,-1
AR_gpt-4o_12_24_473,133,0
AR_gpt-4o_6_12_238,12,1
AR_gpt-4o_6_12_238,114,-1
AR_gpt-4o_6_12_238,109,0
AR_gpt-4o_17_44_872,44,1
AR_gpt-4o_17_44_872,67,-1
AR_gpt-4o_17_44_872,99,0
AR_gpt-4o_15_27_534,27,1
AR_gpt-4o_15_27_534,20,-1
AR_gpt-4o_15_27_534,113,0
AR_gpt-4o_12_24_476,24,1
AR_gpt-4o_12_24_476,30,-1
AR_gpt-4o_12_24_476,103,0
AR_gpt-4o_14_26_517,26,1
AR_gpt-4o_14_26_517,77,-1
AR_gpt-4o_14_26_517,73,0
AR_gpt-4o_3_33_656,33,1
AR_gpt-4o_3_33_656,142,-1
AR_gpt-4o_3_33_656,35,0
AR_gpt-4o_8_17_337,17,1
AR_gpt-4o_8_17_337,155,-1
AR_gpt-4o_8_17_337,58,0
AR_gpt-4o_17_45_898,45,1
AR_gpt-4o_17_45_898,95,-1
AR_gpt-4o_17_45_898,75,0
AR_gpt-4o_9_39_779,39,1
AR_gpt-4o_9_39_779,49,-1
AR_gpt-4o_9_39_779,146,0
AR_gpt-4o_17_45_899,45,1
AR_gpt-4o_17_45_899,35,-1
AR_gpt-4o_17_45_899,38,0
AR_gpt-4o_15_27_538,27,1
AR_gpt-4o_15_27_538,144,-1
AR_gpt-4o_15_27_538,69,0
AR_gpt-4o_16_40_799,40,1
AR_gpt-4o_16_40_799,17,-1
AR_gpt-4o_16_40_799,138,0
AR_gpt-4o_15_28_559,28,1
AR_gpt-4o_15_28_559,15,-1
AR_gpt-4o_15_28_559,124,0
AR_gpt-4o_17_38_754,38,1
AR_gpt-4o_17_38_754,153,-1
AR_gpt-4o_17_38_754,59,0
AR_gpt-4o_9_47_932,47,1
AR_gpt-4o_9_47_932,50,-1
AR_gpt-4o_9_47_932,39,0
AR_gpt-4o_16_40_797,40,1
AR_gpt-4o_16_40_797,159,-1
AR_gpt-4o_16_40_797,84,0
AR_gpt-4o_12_24_480,24,1
AR_gpt-4o_12_24_480,89,-1
AR_gpt-4o_12_24_480,133,0
AR_gpt-4o_4_7_139,7,1
AR_gpt-4o_4_7_139,39,-1
AR_gpt-4o_4_7_139,8,0
AR_gpt-4o_16_40_796,40,1
AR_gpt-4o_16_40_796,4,-1
AR_gpt-4o_16_40_796,34,0
AR_gpt-4o_17_38_759,38,1
AR_gpt-4o_17_38_759,134,-1
AR_gpt-4o_17_38_759,59,0
AR_gpt-4o_12_30_596,30,1
AR_gpt-4o_12_30_596,157,-1
AR_gpt-4o_12_30_596,24,0
AR_gpt-4o_11_23_453,23,1
AR_gpt-4o_11_23_453,61,-1
AR_gpt-4o_11_23_453,93,0
AR_gpt-4o_17_44_875,44,1
AR_gpt-4o_17_44_875,114,-1
AR_gpt-4o_17_44_875,148,0
AR_gpt-4o_9_37_738,37,1
AR_gpt-4o_9_37_738,142,-1
AR_gpt-4o_9_37_738,39,0
AR_gpt-4o_11_23_458,23,1
AR_gpt-4o_11_23_458,84,-1
AR_gpt-4o_11_23_458,139,0
AR_gpt-4o_18_153_3059,153,1
AR_gpt-4o_18_153_3059,148,-1
AR_gpt-4o_18_153_3059,154,0
AR_gpt-4o_19_156_3118,156,1
AR_gpt-4o_19_156_3118,77,-1
AR_gpt-4o_19_156_3118,157,0
AR_gpt-4o_9_39_771,39,1
AR_gpt-4o_9_39_771,59,-1
AR_gpt-4o_9_39_771,146,0
AR_gpt-4o_9_47_938,47,1
AR_gpt-4o_9_47_938,1,-1
AR_gpt-4o_9_47_938,146,0
AR_gpt-4o_15_28_555,28,1
AR_gpt-4o_15_28_555,82,-1
AR_gpt-4o_15_28_555,108,0
AR_gpt-4o_3_33_657,33,1
AR_gpt-4o_3_33_657,67,-1
AR_gpt-4o_3_33_657,151,0
AR_gpt-4o_9_37_734,37,1
AR_gpt-4o_9_37_734,48,-1
AR_gpt-4o_9_37_734,39,0
AR_gpt-4o_15_27_535,27,1
AR_gpt-4o_15_27_535,140,-1
AR_gpt-4o_15_27_535,53,0
AR_gpt-4o_9_37_736,37,1
AR_gpt-4o_9_37_736,33,-1
AR_gpt-4o_9_37_736,85,0
AR_gpt-4o_2_3_53,3,1
AR_gpt-4o_2_3_53,161,-1
AR_gpt-4o_2_3_53,143,0
AR_gpt-4o_11_23_456,23,1
AR_gpt-4o_11_23_456,155,-1
AR_gpt-4o_11_23_456,139,0
AR_gpt-4o_2_32_634,32,1
AR_gpt-4o_2_32_634,135,-1
AR_gpt-4o_2_32_634,143,0
AR_gpt-4o_9_37_735,37,1
AR_gpt-4o_9_37_735,131,-1
AR_gpt-4o_9_37_735,145,0
AR_gpt-4o_12_24_471,24,1
AR_gpt-4o_12_24_471,142,-1
AR_gpt-4o_12_24_471,30,0
